15;7,10
32;2,3
39;10
44;10
49;10
50;2
51;10
53;2,11
55;9
63;10
64;11
65;4,9
72;2
77;5,10
80;4,9
81;2
87;1
88;5
94;2,3
101;3,11
103;5,9,10
117;5
121;7
123;2,3
124;1
127;2,8
139;3,5
140;2,3,4
143;11
144;7,8,10
145;4
148;11
150;2,3
153;10
156;5
158;2,3
163;2,3,6
164;3,4,6
173;1
183;10
184;5
193;7
199;1
200;7
209;2
213;1
214;3,6,9,10
216;3,10
222;2,3
225;11
228;3,13
230;10
239;3,12
242;7
243;7
246;1
247;2
251;11
252;9,13
253;9
262;9
265;2,3
269;5,6,10
278;2,3,9
281;11
283;2,3
284;2,3
285;2,3
289;2,3
305;9
314;3
315;5
320;11
323;4,10
325;7
333;2,3,7
339;6,11
344;9
345;11
347;6
349;2,3,7
350;4,9
351;6,10
354;2
360;10
362;3,4
367;7
368;4,9
369;10
373;2,3
377;3
394;11
403;11
406;6,9,11
409;9
411;2,3
417;2,3
421;9
422;2,3
423;11
428;11
440;4,9
449;9
455;11
459;11
487;2,3
494;9
495;4,5
496;13
502;13
505;6,10
514;13
525;13
533;3
534;1
545;2,3
569;7,9,10
575;4
580;9
581;2,3
582;13
587;7,10,13
590;5
594;11,13
596;13
599;1
602;10
604;7
630;9,10
634;4,6
639;1
641;13
648;2,3,9
659;10
662;13
670;2
699;10
704;13
708;9
723;1
724;13
730;1
738;10
744;13
747;1
757;1
759;7
765;1
774;5
780;7
785;4,10
788;7
795;7
806;1
807;13
814;1
820;7
824;4,6
826;1
827;13
846;7
848;6
850;13
852;1
859;2
862;1
871;10
872;3
879;9
882;3,6
883;8
884;1
890;4,9
893;8,10
895;7,10
896;1
898;1
899;1
902;2,3
904;10
906;7
915;8
933;4
935;2
945;2,3
950;3
952;10
953;4,6
956;1
958;4
967;10
970;9
975;7,10
983;1
985;3
990;6
1001;7,9
1002;5
1003;4
1007;1
1015;1,3
1016;2
1017;2,9
1019;3,7
1030;10
1032;1
1035;1
1036;9
1039;9
1040;7
1042;1
1043;1
1050;1
1055;1
1056;7
1058;9
1059;1
1061;2
1062;7
1064;10
1065;2
1067;7
1071;4
1072;2
1075;6
1080;9
1086;4
1088;1
1097;3
1098;1
1099;6,7
1103;3
1105;1
1106;7
1108;10
1110;1
1115;1
1118;5
1150;9
1156;1
1164;1
1193;4,6
1316;4,9
1325;9
1329;9
1336;11,13
1340;3
1346;13
1354;2
1356;10
1357;2,11
1360;4,9
1364;5
1366;13
1371;9
1378;11,13
1380;4,9
1386;2
1388;9
1390;5
1393;13
1397;3,11
